loc_rowid,hostname,sy_pnum,discoverymethod,pl_orbper,pl_orbsmax,pl_bmassj,st_teff,st_mass,st_dist
1,11 Com,1,Radial Velocity,326.03,1.29,19.4,4742,2.7,93.1846
2,11 Com,1,Radial Velocity,,1.21,17.1,,2.6,93.1846
3,11 UMi,1,Radial Velocity,516.22,1.54,10.5,4340,1.8,125.321
4,11 UMi,1,Radial Velocity,,1.51,10.8,,1.7,125.321
5,11 UMi,1,Radial Velocity,516.21997,1.53,14.74,4213,2.78,125.321
6,14 And,1,Radial Velocity,185.84,0.83,4.8,4813,2.2,75.4392
7,14 And,1,Radial Velocity,,0.68,3.2,,1.2,75.4392
8,14 Her,2,Radial Velocity,1796.4,2.8,4.74,5255,0.9,17.9323
9,14 Her,2,Radial Velocity,1766.41,2.83,4.85,5314.94,0.97,17.9323
10,14 Her,2,Radial Velocity,1766,2.864,4.975,5280,0.91,17.9323
11,14 Her,2,Radial Velocity,1773.40002,2.93,4.66,5338,0.9,17.9323
12,14 Her,2,Radial Velocity,,2.73,4.533,,0.9,17.9323
13,14 Her,2,Radial Velocity,1765.038901,2.773069,8.13881,,0.91,17.9323
14,14 Her,2,Radial Velocity,1724,2.82,4.89,,1,17.9323
15,14 Her,2,Radial Velocity,1773.4,2.77,4.64,,,17.9323
16,16 Cyg B,1,Radial Velocity,798.5,1.66,1.78,5750,1.08,21.1397
17,16 Cyg B,1,Radial Velocity,799.45,1.676,1.752,5711.97,0.98,21.1397
18,16 Cyg B,1,Radial Velocity,798.5,1.681,1.68,5674,0.99,21.1397
19,16 Cyg B,1,Radial Velocity,800.8,1.6,1.5,5760,1,21.1397
20,16 Cyg B,1,Radial Velocity,799.5,1.68,1.68,5747,1.03,21.1397
21,16 Cyg B,1,Radial Velocity,799.5,1.68,1.68,,,21.1397
22,17 Sco,1,Radial Velocity,578.38,1.45,4.32,4157,1.22,124.953
23,18 Del,1,Radial Velocity,993.3,2.6,10.3,4979,2.3,76.222
24,18 Del,1,Radial Velocity,,2.54,9.84,,2.1,76.222
25,1RXS J160929.1-210524,1,Imaging,,330,8,4060,0.85,139.135
26,1RXS J160929.1-210524,1,Imaging,,330,12,4060,0.85,139.135
27,1RXS J160929.1-210524,1,Imaging,,330,8,4060,0.85,139.135
28,1RXS J160929.1-210524,1,Imaging,,330,8,3993,0.62,139.135
29,24 Boo,1,Radial Velocity,30.3506,0.19,0.91,4893,0.99,95.9863
30,24 Sex,2,Radial Velocity,452.8,1.333,1.99,5098,1.54,72.0691
31,24 Sex,2,Radial Velocity,883,2.08,0.86,5098,1.54,72.0691
32,2MASS J04372171+2651014,1,Imaging,,118,4,3100,0.17,128.484
33,2MASS J01033563-5515561 A,1,Imaging,,84,13,,0.19,
34,2MASS J01225093-2439505,1,Imaging,,,,3309,0.35,33.8281
35,2MASS J01225093-2439505,1,Imaging,,52,24.5,3530,0.4,33.8281
36,2MASS J02192210-3925225,1,Imaging,,156,13.9,3064,0.11,
37,2MASS J04414489+2301513,1,Imaging,,15,7.5,,0.02,
38,2MASS J12073346-3932539,1,Imaging,,46,4,2825,0.19,64.308
39,2MASS J12073346-3932539,1,Imaging,,55,5,,0.02,64.308
40,2MASS J19383260+4603591,3,Eclipse Timing Variations,406,,1.86,29564,0.48,396.332
41,2MASS J19383260+4603591,3,Eclipse Timing Variations,416,0.92,1.9,,0.48,396.332
42,2MASS J21402931+1625183 A,1,Imaging,7336.5,,20.95,2300,0.08,
43,2MASS J22362452+4751425,1,Imaging,,230,12.5,4045,0.6,69.5737
44,30 Ari B,1,Radial Velocity,345.4,1.01,6.6,,1.16,44.657
45,30 Ari B,1,Radial Velocity,335.1,0.995,9.88,6300,1.16,44.657
46,30 Ari B,1,Radial Velocity,335.10001,0.99,13.82,6331,1.93,44.657
47,4 UMa,1,Radial Velocity,269.3,0.87,7.1,4415,1.23,73.4603
48,42 Dra,1,Radial Velocity,479.1,1.19,3.88,4200,0.98,90.6545
49,47 UMa,3,Radial Velocity,1083.2,2.11,2.6,,,13.7967
50,47 UMa,3,Radial Velocity,1100.8,2.11,2.76,,,13.7967
51,47 UMa,3,Radial Velocity,1078,2.1,2.53,5872,1.06,13.7967
52,47 UMa,3,Radial Velocity,1076.6,2.059,2.438,5829.16,1.01,13.7967
53,47 UMa,3,Radial Velocity,1076.6,2.1,2.45,5882,1.06,13.7967
54,47 UMa,3,Radial Velocity,7586,7.73,1.34,,,13.7967
55,47 UMa,3,Radial Velocity,2287,3.404,0.497,5829.16,1.01,13.7967
56,47 UMa,3,Radial Velocity,2391,3.6,0.54,5872,1.06,13.7967
57,47 UMa,3,Radial Velocity,14002,11.6,1.64,5872,1.06,13.7967
58,47 UMa,3,Radial Velocity,19000,13.8,1.51,5829.16,1.01,13.7967
59,51 Eri,1,Imaging,14965,14,,7295,1.65,29.7575
60,51 Eri,1,Imaging,,13.2,2,,1.75,29.7575
61,51 Eri,1,Imaging,11688,12,,7295,1.65,29.7575
62,51 Peg,1,Radial Velocity,4.230785,0.0527,0.472,5758,1.03,15.4614
63,51 Peg,1,Radial Velocity,4.23077,0.052,0.468,,,15.4614
64,51 Peg,1,Radial Velocity,4.2293,,0.47,5773,,15.4614
65,51 Peg,1,Radial Velocity,4.2307969,0.05235,0.464,5760.76,1.07,15.4614
66,51 Peg,1,Radial Velocity,4.231,0.052,0.46,,1.04,15.4614
67,55 Cnc,5,Radial Velocity,14.65126,0.1138,0.82,5250,0.9,12.5855
68,55 Cnc,5,Radial Velocity,14.648,0.11,0.84,5200,0.85,12.5855
69,55 Cnc,5,Radial Velocity,14.6,0.113,0.8,,,12.5855
70,55 Cnc,5,Radial Velocity,14.65162,0.115,0.824,5250,0.9,12.5855
71,55 Cnc,5,Radial Velocity,14.651,0.1134,0.8,5250,0.9,12.5855
72,55 Cnc,5,Radial Velocity,14.647,0.115,0.91,,,12.5855
73,55 Cnc,5,Radial Velocity,14.465314,0.11339,0.84,5250,0.9,12.5855
74,55 Cnc,5,Radial Velocity,14.65152,0.115227,0.8306,,0.95,12.5855
75,55 Cnc,5,Radial Velocity,14.653,0.115,0.84,,0.95,12.5855
76,55 Cnc,5,Radial Velocity,14.65171,0.1162,0.841,5317.89,0.97,12.5855
77,55 Cnc,5,Radial Velocity,14.67,0.115,0.784,,0.95,12.5855
78,55 Cnc,5,Radial Velocity,14.6516,0.1134,0.8036,5172,0.91,12.5855
79,55 Cnc,5,Radial Velocity,44.3446,0.24,0.169,5250,0.9,12.5855
80,55 Cnc,5,Radial Velocity,44.3827,0.2432,0.171,5317.89,0.97,12.5855
81,55 Cnc,5,Radial Velocity,44.3989,0.2373,0.1611,5172,0.91,12.5855
82,55 Cnc,5,Radial Velocity,44.3787,0.238,0.165,5250,0.9,12.5855
83,55 Cnc,5,Radial Velocity,44.38,0.237,0.165,5250,0.9,12.5855
84,55 Cnc,5,Radial Velocity,44.373,0.23735,0.1784,5250,0.9,12.5855
85,55 Cnc,5,Radial Velocity,43.93,0.24,0.217,,0.95,12.5855
86,55 Cnc,5,Radial Velocity,44.4175,0.241376,0.1714,,0.95,12.5855
87,55 Cnc,5,Radial Velocity,4867,5.446,3.86,5250,0.9,12.5855
88,55 Cnc,5,Radial Velocity,5218,5.77,3.835,5250,0.9,12.5855
89,55 Cnc,5,Radial Velocity,4820,5.54,2.86,5317.89,0.97,12.5855
90,55 Cnc,5,Radial Velocity,4517.4,5.257,3.912,,0.95,12.5855
91,55 Cnc,5,Radial Velocity,5370,5.84,3.84,5250,0.9,12.5855
92,55 Cnc,5,Radial Velocity,5360,5.9,4.05,,0.95,12.5855
93,55 Cnc,5,Radial Velocity,4909,5.47,3.53,5250,0.9,12.5855
94,55 Cnc,5,Radial Velocity,4545,5.28,2.89,,,12.5855
95,55 Cnc,5,Radial Velocity,5574.2,5.957,3.12,5172,0.91,12.5855
96,55 Cnc,5,Radial Velocity,4825,5.503,3.878,,0.95,12.5855
97,55 Cnc,5,Radial Velocity,0.7365515,0.015691,0.02561,,0.95,12.5855
98,55 Cnc,5,Radial Velocity,,,,5250,0.9,12.5855
99,55 Cnc,5,Radial Velocity,0.73654,0.01583,0.027,,0.96,12.5855
100,55 Cnc,5,Radial Velocity,0.73654582,,,5250,,12.5855
101,55 Cnc,5,Radial Velocity,0.7365417,,,,,12.5855
102,55 Cnc,5,Radial Velocity,0.736539,0.01544,0.02542,5250,0.9,12.5855
103,55 Cnc,5,Radial Velocity,0.7365437,0.01544,0.02457,5234,0.91,12.5855
104,55 Cnc,5,Radial Velocity,0.737,,0.02435,5172,0.87,12.5855
105,55 Cnc,5,Radial Velocity,2.808,0.038,0.045,,0.95,12.5855
106,55 Cnc,5,Radial Velocity,2.79674,0.0377,0.0235,5250,0.9,12.5855
107,55 Cnc,5,Radial Velocity,0.736546,0.01583,0.026,5250,0.9,12.5855
108,55 Cnc,5,Radial Velocity,,0.01544,0.02542,5250,0.9,12.5855
109,55 Cnc,5,Radial Velocity,0.7365478,0.015439,0.02547,5250,0.9,12.5855
110,55 Cnc,5,Radial Velocity,0.7365445,0.01583,0.0295,5317.89,0.97,12.5855
111,55 Cnc,5,Radial Velocity,0.7365474,0.01544,0.02514,5172,0.91,12.5855
112,55 Cnc,5,Radial Velocity,260.7,0.775,0.141,5250,0.9,12.5855
113,55 Cnc,5,Radial Velocity,262,0.788,0.141,,0.95,12.5855
114,55 Cnc,5,Radial Velocity,260.98,0.792,0.1475,5317.89,0.97,12.5855
115,55 Cnc,5,Radial Velocity,260,0.781,0.144,5250,0.9,12.5855
116,55 Cnc,5,Radial Velocity,260.91,0.7733,0.1479,5250,0.9,12.5855
117,55 Cnc,5,Radial Velocity,259.88,0.7708,0.1503,5172,0.91,12.5855
118,55 Cnc,5,Radial Velocity,261.2,0.77,0.172,5250,0.9,12.5855
119,6 Lyn,1,Radial Velocity,934.3,2.11,2.01,4938,1.44,54.6599
120,6 Lyn,1,Radial Velocity,874.774,2.18,2.21,,1.82,54.6599
121,6 Lyn,1,Radial Velocity,899,2.2,2.4,4978,1.7,54.6599
122,61 Vir,3,Radial Velocity,4.21487,0.04956,0.0161,5585.57,0.91,8.50332
123,61 Vir,3,Radial Velocity,4.215,0.050201,0.016,5577,0.94,8.50332
124,61 Vir,3,Radial Velocity,38.021,0.2175,0.057,5577,0.94,8.50332
125,61 Vir,3,Radial Velocity,38.0957,0.2151,0.0507,5585.57,0.91,8.50332
126,61 Vir,3,Radial Velocity,123.01,0.476,0.072,5577,0.94,8.50332
127,7 CMa,2,Radial Velocity,796,1.93,2.46,4794.52,,19.8101
128,7 CMa,2,Radial Velocity,735.1,1.758,1.85,4826,1.34,19.8101
129,7 CMa,2,Radial Velocity,763,1.9,2.6,4792,1.52,19.8101
130,7 CMa,2,Radial Velocity,996,2.153,0.87,4826,1.34,19.8101
131,70 Vir,1,Radial Velocity,116.688,0.481,7.416,5495,1.09,17.9011
132,70 Vir,1,Radial Velocity,116.6884,0.48,7.62,5531,1.14,17.9011
133,70 Vir,1,Radial Velocity,116.6926,0.481,7.4,5439,1.09,17.9011
134,70 Vir,1,Radial Velocity,116.689,0.456,6.56,,,17.9011
135,70 Vir,1,Radial Velocity,116.6884,0.484,7.49,5545,1.11,17.9011
136,70 Vir,1,Radial Velocity,116.69335,0.4765,7.23,5481.86,1.06,17.9011
137,75 Cet,1,Radial Velocity,691.9,2.1,3,4846,2.49,82.9613
138,8 UMi,1,Radial Velocity,93.4,0.49,1.5,4847.4,1.8,162.552
139,8 UMi,1,Radial Velocity,93.4,0.49,1.31,4847,1.44,162.552
140,81 Cet,1,Radial Velocity,,2.17,4.01,,1.6,101.26
141,81 Cet,1,Radial Velocity,952.7,2.5,5.3,4785,2.4,101.26
142,91 Aqr,1,Radial Velocity,181.4,0.7,3.2,4665,1.4,44.0304
143,AB Aur,1,Imaging,,93.9,9,9770,2.4,162.127
144,AB Pic,1,Imaging,,260,13.5,,,50.0475
145,AU Mic,2,Transit,8.463,,0.03681,3700,0.5,9.7221
146,AU Mic,2,Transit,,,,3588,,9.7221
147,AU Mic,2,Transit,8.463,0.0645,0.05349,3700,0.5,9.7221
148,AU Mic,2,Transit,8.46321,,0.0538,3700,0.5,9.7221
149,AU Mic,2,Transit,8.4629991,0.0645,0.0633,,0.5,9.7221
150,AU Mic,2,Transit,8.46321,0.066,0.18,3700,0.5,9.7221
151,AU Mic,2,Transit,8.4630004,0.0644,,,,9.7221
152,AU Mic,2,Transit,18.859019,,0.06985,3700,0.5,9.7221
153,AU Mic,2,Transit,18.858982,0.11,,,,9.7221
154,AU Mic,2,Transit,18.858991,0.1101,0.0302,,0.5,9.7221
155,AU Mic,2,Transit,18.859019,0.1101,0.04279,3700,0.5,9.7221
156,BD+03 2562,1,Radial Velocity,481.9,1.3,6.4,4095,1.14,1070.63
157,BD+14 4559,1,Radial Velocity,268.94,0.78,1.04,4864,0.49,49.352
158,BD+14 4559,1,Radial Velocity,268.94,0.777,1.47,5008,0.86,49.352
159,BD+15 2375,1,Radial Velocity,153.22,0.576,1.061,4649,1.08,768.045
160,BD+15 2940,1,Radial Velocity,137.48,0.539,1.11,4796,1.1,426.42
161,BD+20 2457,2,Radial Velocity,379.63,1.05,55.59,4259,10.83,1539.71
162,BD+20 2457,2,Radial Velocity,379.63,1.45,21.42,4137,2.8,1539.71
163,BD+20 2457,2,Radial Velocity,621.99,2.01,12.47,4137,2.8,1539.71
164,BD+20 274,1,Radial Velocity,578.2,1.3,4.2,4296,0.8,1322.51
165,BD+20 594,1,Transit,41.6855,0.241,0.05129,5766,0.96,179.461
166,BD+20 594,1,Transit,41.688644,,,5703,0.96,179.461
167,BD+20 594,1,Transit,41.6855,,0.07,5766,1.67,179.461
168,BD+45 564,1,Radial Velocity,307.88,0.83,1.36,5004,0.81,53.622
169,BD+48 738,1,Radial Velocity,392.6,1,0.91,4414,0.74,871.493
170,BD+48 740,1,Radial Velocity,733,1.7,1.7,4534,1.09,666.589
171,BD+49 828,1,Radial Velocity,2590,4.2,1.6,4943,1.52,442.042
172,BD+55 362,1,Radial Velocity,265.59,0.78,0.72,5012,0.91,52.5697
173,BD+60 1417,1,Imaging,,1662,15,4993,1,44.9543
174,BD+63 1405,1,Radial Velocity,1198.48,2.06,3.96,5000,0.82,38.0473
175,BD-00 4475,1,Radial Velocity,723.2,1.48,25.05,5040,0.81,42.6402
176,BD-06 1339,2,Radial Velocity,3.8728,0.0428,0.027,4324,0.7,20.2695
177,BD-06 1339,2,Radial Velocity,125.94,0.435,0.17,4324,0.7,20.2695
178,BD-08 2823,2,Radial Velocity,5.6,0.06,0.04,4816,0.5,41.3342
179,BD-08 2823,2,Radial Velocity,5.6,0.056,0.045,4746,0.74,41.3342
180,BD-08 2823,2,Radial Velocity,237.6,0.68,0.33,4746,0.74,41.3342
181,BD-10 3166,1,Radial Velocity,3.48777,0.0452,0.458,5393,1.01,84.4069
182,BD-10 3166,1,Radial Velocity,3.487,0.046,0.48,5400,1.1,84.4069
183,BD-10 3166,1,Radial Velocity,3.48777,0.04,0.59,5393,1.47,84.4069
184,BD-10 3166,1,Radial Velocity,3.487905,0.045,0.449,5382.64,1,84.4069
185,BD-11 4672,2,Radial Velocity,1667,2.28,0.53,4475,0.57,27.1665
186,BD-11 4672,2,Radial Velocity,1634,2.36,0.65,4550,0.65,27.1665
187,BD-11 4672,2,Radial Velocity,74.2,0.3,0.04836,4550,0.65,27.1665
188,BD-13 2130,1,Radial Velocity,714.29999,1.66,9.78,4545,2.12,925.214
189,BD-13 2130,1,Radial Velocity,714.3,2.1,10.6,,2.4,925.214
190,BD-17 63,1,Radial Velocity,655.6,1.34,5.1,4714,0.74,34.4603
191,BD-17 63,1,Radial Velocity,655.59998,1.34,2.85,4665,0.31,34.4603
192,CD Cet,1,Radial Velocity,2.2907,0.0185,0.01243,3130,0.16,8.60715
193,CFBDSIR J145829+101343,1,Imaging,10037.5,2.6,10.5,580.5,0.02,
194,CFHTWIR-Oph 98 A,1,Imaging,8040000,200,7.8,2320,0.01,
195,CHXR 73,1,Imaging,,210,12.569,,0.35,190.374
196,CI Tau,1,Radial Velocity,8.9891,,11.6,,0.9,157.998
197,COCONUTS-2 A,1,Imaging,402000000,7506,6.3,3406,0.37,10.8864
198,CT Cha,1,Imaging,,440,17,,,190.72
199,CoRoT-1,1,Transit,1.5089686,0.02536,1.03,5950,0.95,787.909
200,CoRoT-1,1,Transit,1.5089557,0.0261,1.13,5950,1.03,787.909
201,CoRoT-1,1,Transit,1.5089682,0.02752,1.23,6298,1.22,787.909
202,CoRoT-1,1,Transit,1.50897655,0.0259,1.07,5950,,787.909
203,CoRoT-1,1,Transit,1.5089557,,1.03,5950,0.95,787.909
204,CoRoT-1,1,Transit,1.5089635,,,5950,,787.909
205,CoRoT-10,1,Transit,13.2406,0.106,2.78,5075,0.9,338.386
206,CoRoT-10,1,Transit,13.2406,0.1055,2.75,5075,0.89,338.386
207,CoRoT-10,1,Transit,13.2406,0.1055,2.73,5075,0.89,338.386
208,CoRoT-11,1,Transit,,,,6343,1.56,655.037
209,CoRoT-11,1,Transit,2.99433,0.044,2.34,6440,1.26,655.037
210,CoRoT-11,1,Transit,2.994325,0.04351,2.49,,1.23,655.037
211,CoRoT-11,1,Transit,2.994325,0.04407,2.62,6440,1.27,655.037
212,CoRoT-11,1,Transit,2.99433,0.0436,2.33,6440,1.27,655.037
213,CoRoT-12,1,Transit,2.828042,0.04016,0.917,5675,1.08,1126.37
214,CoRoT-12,1,Transit,2.828042,0.0394,0.887,5675,1.02,1126.37
215,CoRoT-12,1,Transit,2.82803915,,,5675,,1126.37
216,CoRoT-12,1,Transit,2.828042,0.04013,0.915,5675,1.08,1126.37
217,CoRoT-12,1,Transit,2.82805268,0.0392,0.873,,1,1126.37
218,CoRoT-12,1,Transit,2.828041,,,5675,1.08,1126.37
219,CoRoT-13,1,Transit,4.03519,0.051,1.308,5945,1.09,1148.93
220,CoRoT-13,1,Transit,4.03519,0.051,1.312,5945,1.09,1148.93
221,CoRoT-13,1,Transit,4.03504444,,,5945,,1148.93
222,CoRoT-13,1,Transit,4.03519,0.05107,1.331,5945,1.09,1148.93
223,CoRoT-13,1,Transit,4.03515,,,5945,1.09,1148.93
224,CoRoT-14,1,Transit,1.51214,0.02687,7.67,6035,1.12,1744.6
225,CoRoT-14,1,Transit,1.51214,0.027,7.6,6035,1.13,1744.6
226,CoRoT-14,1,Transit,1.51214,0.02691,7.42,6040,1.13,1744.6
227,CoRoT-16,1,Transit,5.35227,0.0618,0.529,5650,1.1,732.409
228,CoRoT-16,1,Transit,5.35227,0.0618,0.535,5650,1.1,732.409
229,CoRoT-17,1,Transit,3.7681,0.0481,2.46,5740,1.04,1176.12
230,CoRoT-17,1,Transit,3.7681,0.0461,2.43,5740,1.04,1176.12
231,CoRoT-17,1,Transit,3.7681,0.0481,2.41,5740,1.04,1176.12
232,CoRoT-18,1,Transit,1.9000693,0.0295,3.46,5440,0.95,764.889
233,CoRoT-18,1,Transit,1.9000693,0.0286,3.27,5440,0.86,764.889
234,CoRoT-18,1,Transit,1.9000693,0.0295,3.47,5440,0.95,764.889
235,CoRoT-18,1,Transit,1.90009,0.0288,3.3,,0.88,764.889
236,CoRoT-18,1,Transit,1.9000769,,,5440,0.95,764.889
237,CoRoT-18,1,Transit,1.90008625,,,5440,,764.889
238,CoRoT-19,1,Transit,3.89713,0.0518,1.11,6090,1.21,790.663
239,CoRoT-19,1,Transit,3.89713,0.0512,1.09,6090,1.18,790.663
240,CoRoT-19,1,Transit,3.89713,0.05166,1.155,6090,1.21,790.663
241,CoRoT-19,1,Transit,3.897131,,,6090,1.21,790.663
242,CoRoT-19,1,Transit,3.89712026,,,6090,,790.663
243,CoRoT-2,1,Transit,1.742997,,,5696,,213.283
244,CoRoT-2,1,Transit,1.7429975,,3.31,5625,0.97,213.283
245,CoRoT-2,1,Transit,1.74301433,,,5529,,213.283
246,CoRoT-2,1,Transit,1.7429935,0.02798,3.47,5625,0.96,213.283
247,CoRoT-2,1,Transit,1.7429964,0.0281,3.31,,,213.283
248,CoRoT-2,1,Transit,1.7429935,0.02854,3.62,5696,1.02,213.283
249,CoRoT-2,1,Transit,1.74299673,,,5529,0.97,213.283
250,CoRoT-2,1,Transit,1.74299609,,,5575,,213.283
251,CoRoT-2,1,Transit,1.7429935,0.02835,3.57,5598,1,213.283
252,CoRoT-2,1,Transit,1.74299673,0.0281,3.3,5625,0.97,213.283
253,CoRoT-20,2,Transit,9.24285,0.0892,5.06,5880,1.11,844.061
254,CoRoT-20,2,Transit,9.24285,0.0901,4.23,5880,1.14,844.061
255,CoRoT-20,2,Transit,9.24285,0.09,4.3,,1.14,844.061
256,CoRoT-20,2,Transit,9.24323029,,,5880,,844.061
257,CoRoT-20,2,Transit,9.24318,0.0891,4.14,,1.1,844.061
258,CoRoT-20,2,Transit,9.24285,0.0902,4.24,5880,1.14,844.061
259,CoRoT-20,2,Radial Velocity,1675,2.9,17,,1.14,844.061
260,CoRoT-21,1,Transit,2.72474,0.0417,2.26,6200,1.29,
261,CoRoT-21,1,Transit,2.72474,0.0416,2.22,6200,1.29,
262,CoRoT-22,1,Transit,9.75598,0.092,0.038,5939,1.1,627.158
263,CoRoT-23,1,Transit,3.6313,0.0484,3.09,5900,1.14,1060.97
264,CoRoT-23,1,Transit,3.6313,0.04809,3.06,5900,1.12,1060.97
265,CoRoT-23,1,Transit,3.6313,0.048,2.8,5900,1.14,1060.97
266,CoRoT-24,2,Transit,5.1134,0.056,0.018,4950,0.91,591.555
267,CoRoT-24,2,Transit,11.759,0.098,0.088,4950,0.91,591.555
268,CoRoT-25,1,Transit,4.86069,0.05789,0.293,6040,1.09,1103.48
269,CoRoT-25,1,Transit,4.86069,0.0578,0.27,6040,1.09,1103.48
270,CoRoT-26,1,Transit,4.20474,0.0526,0.52,5590,1.09,1045.18
271,CoRoT-26,1,Transit,4.20474,0.0525,0.58,5590,1.09,1045.18
272,CoRoT-27,1,Transit,3.57532,0.0476,10.39,5900,1.05,1010.28
273,CoRoT-27,1,Transit,3.57532,0.0467,10.3,5900,1.05,1010.28
274,CoRoT-28,1,Transit,5.20851,0.059,0.481,5150,1.01,766.183
275,CoRoT-28,1,Transit,5.20851,0.0603,0.484,5150,1.01,766.183
276,CoRoT-29,1,Transit,2.85057,0.039,0.84,5260,0.97,806.507
277,CoRoT-29,1,Transit,2.8505615,,,5268,0.9,806.507
278,CoRoT-29,1,Transit,2.85057,0.0386,0.85,5260,0.97,806.507
279,CoRoT-3,1,Transit,,,,6558,1.41,768.771
280,CoRoT-3,1,Transit,4.2567994,0.05783,21.96,6740,1.4,768.771
281,CoRoT-3,1,Transit,4.2568,,21.66,6740,1.37,768.771
282,CoRoT-3,1,Transit,4.2567994,0.0574,21.44,6740,1.37,768.771
283,CoRoT-3,1,Transit,4.2567994,0.05694,21.23,,1.36,768.771
284,CoRoT-30,1,Transit,9.06005,0.0844,2.9,5650,0.98,1032.23
285,CoRoT-31,1,Transit,4.62941,0.0586,0.84,5700,1.25,2005.76
286,CoRoT-35,1,Transit,3.22748,0.0429,1.1,6390,1.01,1123.21
287,CoRoT-36,1,Transit,5.616531,0.066,0.68,6730,1.32,925.958
288,CoRoT-4,1,Transit,9.20205,0.09,0.72,6190,1.16,726.412
289,CoRoT-4,1,Transit,9.20164964,,,6190,,726.412
290,CoRoT-4,1,Transit,9.20205,0.09025,0.703,6190,1.16,726.412
291,CoRoT-4,1,Transit,9.20205,0.0912,0.731,6190,1.19,726.412
292,CoRoT-5,1,Transit,4.0378962,0.05004,0.47,6100,1.02,882.472
293,CoRoT-5,1,Transit,4.0378962,0.04947,0.467,6100,1,882.472
294,CoRoT-5,1,Transit,4.0378962,0.04963,0.478,6100,1,882.472
295,CoRoT-5,1,Transit,4.03790124,,,6100,,882.472
296,CoRoT-5,1,Transit,4.0379156,0.0495,0.459,,0.99,882.472
297,CoRoT-6,1,Transit,8.886593,0.0855,2.96,6090,1.05,645.294
298,CoRoT-6,1,Transit,8.886593,0.0854,2.95,6090,1.05,645.294
299,CoRoT-6,1,Transit,8.886593,0.0855,2.96,6090,1.05,645.294
300,CoRoT-7,3,Transit,0.85359165,0.017,0.015,5256,0.9,159.906
301,CoRoT-7,3,Transit,0.853585,0.017,0.0151,5256,0.9,159.906
302,CoRoT-7,3,Transit,0.85359163,,0.01283,5275,0.82,159.906
303,CoRoT-7,3,Transit,0.8535,,0.01905,5250,0.92,159.906
304,CoRoT-7,3,Transit,0.853585,0.0172,0.066,5275,0.93,159.906
305,CoRoT-7,3,Transit,0.854,,0.01447,5313,0.88,159.906
306,CoRoT-7,3,Transit,0.85359159,0.017016,0.018,5259,0.91,159.906
307,CoRoT-7,3,Transit,0.853585,0.0169,0.022,5250,0.88,159.906
308,CoRoT-7,3,Radial Velocity,3.697,,0.04181,5250,0.92,159.906
309,CoRoT-7,3,Radial Velocity,3.7,0.045,0.043,5256,0.9,159.906
310,CoRoT-7,3,Radial Velocity,3.698,0.046,0.02643,5256,0.9,159.906
311,CoRoT-7,3,Radial Velocity,8.966,,0.05393,5250,0.92,159.906
312,CoRoT-8,1,Transit,6.212445,0.0636,0.218,,0.89,322.037
313,CoRoT-8,1,Transit,6.21229,0.063,0.22,5080,0.88,322.037
314,CoRoT-8,1,Transit,6.21229,0.0633,0.216,5080,0.88,322.037
315,CoRoT-8,1,Transit,6.212381,0.06339,0.218,5080,0.88,322.037
316,CoRoT-9,1,Transit,95.2738,0.4027,0.826,5625,0.96,412.98
317,CoRoT-9,1,Transit,95.272656,0.4029,0.846,5625,0.96,412.98
318,CoRoT-9,1,Transit,95.272656,0.4021,0.84,5625,0.96,412.98
319,CoRoT-9,1,Transit,95.2738,0.407,0.84,5625,0.99,412.98
320,CoRoTID 223977153,1,Transit,6.71837,0.071,0.15,5970,1.08,576.683
321,CoRoTID 223977153,1,Transit,6.7183678,,,5970,1.08,576.683
322,DE CVn,1,Eclipse Timing Variations,4098.1,5.75,12.0293,,0.51,30.5225
323,DENIS-P J082303.1-491201,1,Astrometry,246.36,0.36,28.5,,0.07,
324,DH Tau,1,Imaging,,330,11,,0.33,134.846
325,DH Tau,1,Imaging,,,11,4371,0.68,134.846
326,DMPP-1,4,Radial Velocity,18.57,0.1462,0.07636,6196,1.21,62.5388
327,DMPP-1,4,Radial Velocity,6.584,0.0733,0.0302,6196,1.21,62.5388
328,DMPP-1,4,Radial Velocity,2.882,0.0422,0.01054,6196,1.21,62.5388
329,DMPP-1,4,Radial Velocity,5.516,0.0651,0.01299,6196,1.21,62.5388
330,DMPP-2,1,Radial Velocity,5.2072,0.0664,0.437,6500,1.44,137.94
331,DMPP-3 A,1,Radial Velocity,6.6732,0.0662,0.00812,5138,0.87,45.23
332,DMPP-3 A,1,Radial Velocity,6.6736,0.0662,0.00812,,,45.23
333,DP Leo,1,Eclipse Timing Variations,8693,8.6,6.28,,,305.684
334,DP Leo,1,Eclipse Timing Variations,10220,8.19,6.05,,0.69,305.684
335,DS Tuc A,1,Transit,8.138268,,,5428,1.01,44.0622
336,DS Tuc A,1,Transit,8.1387,,1.3,5542,0.96,44.0622
337,DS Tuc A,1,Transit,8.13822434,,,5414,,44.0622
338,EPIC 201170410,1,Transit,6.7987,0.0349,,3648,0.29,
339,EPIC 201238110,1,Transit,28.1656,,,,0.41,159.259
340,EPIC 201238110,1,Transit,28.1696,,,,,159.259
341,EPIC 201427007,1,Transit,0.72091,,,5633,,706.391
342,EPIC 201497682,1,Transit,2.13174,,,,0.78,253.026
343,EPIC 201595106,1,Transit,0.877214,,,5820,,232.1
344,EPIC 201595106,1,Transit,0.877183,,,5705,,232.1
345,EPIC 201595106,1,Transit,0.87703,,,5711.17,1.02,232.1
